1	0
1.276383313	0.193128035
1.424443738	0.298472851
1.641479641	0.38032243
1.917708905	0.485559962
2.19392854	0.584938126
2.450401009	0.666754695
3.081674899	0.842007535
3.673492967	1.005574651
4.147059107	1.204397001
4.877193996	1.543629589
5.43978125	1.918158673
5.884020296	2.269349321
6.239604094	2.667489179
6.535936763	3.007084882
6.733735787	3.381919314
7.000539172	3.75083661
7.227867479	4.096349449
7.287580755	4.436143216
7.406506648	4.811043669
7.584568133	5.174175872
7.683766115	5.543233463
